BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER
Suzuki,S-Presso,1.0 MT,City Car,169100000,66,89,180,Monocoque,0,0.0,1000,MT,Petrol,1170,14,165/70,2380,3565,1520,1565,4,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,239,Torsion Beam,12.0,-,Fixed,Wired,Wired,Fabric,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,Halogen,Digital
Suzuki,XL7,Alpha Hybrid 2-Tone AT,SUV,315900000,103,138,200,Monocoque,1462,0.12,0,AT,HEV,1735,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Alpha Hybrid 2-Tone MT,SUV,304900000,103,138,200,Monocoque,1462,0.12,0,MT,HEV,1705,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Alpha Hybrid AT,SUV,308900000,103,138,200,Monocoque,1462,0.12,0,AT,HEV,1735,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Alpha Hybrid MT,SUV,297900000,103,138,200,Monocoque,1462,0.12,0,MT,HEV,1705,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Alpha Kuro Hybrid 2Tone AT,SUV,313900000,103,138,200,Monocoque,1462,0.12,0,AT,HEV,1735,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Alpha Kuro Hybrid AT,SUV,311900000,103,138,200,Monocoque,1462,0.12,0,AT,HEV,1735,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Beta Hybrid AT,SUV,298900000,103,138,200,Monocoque,1462,0.12,0,AT,HEV,1735,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Fabric,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Beta Hybrid MT,SUV,287900000,103,138,200,Monocoque,1462,0.12,0,MT,HEV,1705,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Fabric,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
Suzuki,XL7,Zeta AT,SUV,271200000,103,138,200,Monocoque,0,0.0,0,AT,Petrol,1730,16,195/60,2740,4450,1775,1710,7,FWD,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,153,Torsion Beam,10.5,-,Tilt,Wired,Wired,Fabric,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Analog
